code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000983,西山煤电,0.48,10.85,,8.09,,152270.55,10.86,,10-30
600037,歌华有线,0.39,-14.2,,4.26,,54688.73,-14.18,,10-30
002643,万润股份,0.34,3.03,,7.37,,30622.8,1.34,,10-30
000570,苏常柴A,0.04,-50.0,,1.05,,2330.94,-45.48,,10-30
600797,浙大网新,0.15,-31.82,,3.5,,15842.28,-23.65,,10-30
300035,中科电气,0.14,77.44,,6.23,,7250.47,78.43,,10-30
601989,中国重工,0.06,8.47,,1.72,,141505.92,28.03,,10-30
603693,江苏新能,0.53,17.78,,7.56,,28371.39,26.11,,10-30
300686,智动力,0.05,-81.48,,1.52,,959.53,-60.15,,10-30
600079,人福医药,0.43,-70.55,,4.24,,64843.06,-66.57,,10-30
603718,海利生物,0.07,-44.47,,4.27,,4649.15,-44.55,,10-30
300702,天宇股份,0.44,-62.71,,5.97,,7886.21,-25.68,,10-30
002048,宁波华翔,0.8,-32.2,,6.33,,50395.57,-19.2,,10-30
600097,开创国际,0.51,264.29,,7.78,,12250.41,347.19,,10-30
300720,海川智能,0.41,-7.11,,6.86,,2942.54,24.81,,10-30
002692,ST远程,0.05,-23.69,,2.35,,3564.31,-23.62,,10-30
603045,福达合金,0.44,-18.85,,6.06,,3714.4,-6.81,,10-30
600114,东睦股份,0.39,-22.0,,9.41,,24897.78,18.61,,10-30
002709,天赐材料,1.39,63.53,,17.46,,47253.87,70.08,,10-30
300100,双林股份,0.51,-9.43,,5.68,,21059.62,-5.95,,10-30
603081,大丰实业,0.39,-7.14,,9.8,,15617.96,-1.32,,10-30
600529,山东药玻,0.62,-6.07,,7.85,,26240.54,31.49,,10-30
603110,东方材料,0.24,-58.62,,4.51,,2856.37,-36.05,,10-30
600152,维科技术,0.22,94.87,,6.75,,9654.09,149.57,,10-30
603898,好莱客,0.97,31.08,,14.06,,30658.68,37.3,,10-30
000725,京东方A,0.1,-47.57,,3.92,,337906.67,-47.82,,10-30
600965,福成股份,0.18,20.0,,7.6,,14449.59,21.07,,10-30
000731,四川美丰,0.36,57.22,,7.86,,21302.56,57.21,,10-30
002134,天津普林,-0.05,400.0,,-3.04,,-1311.4,540.41,,10-30
603189,网达软件,0.03,-66.67,,0.89,,713.88,-64.86,,10-30
002455,百川股份,0.17,-10.53,,6.58,,8863.04,0.86,,10-30
600590,泰豪科技,0.19,5.56,,4.24,,16104.33,33.63,,10-30
300169,天晟新材,0.01,11.54,,0.32,,378.3,12.06,,10-30
600212,江泉实业,-0.05,-208.74,,-3.69,,-2735.41,-208.59,,10-30
603980,吉华集团,1.1,57.14,,13.04,,54995.75,81.26,,10-30
600608,ST沪科,-0.01,-85.71,,,,-199.69,-91.35,,10-30
300185,通裕重工,0.05,25.0,,3.06,,15629.96,11.06,,10-30
601069,西部黄金,-0.05,-31.76,,-2.0,,-3320.38,-31.72,,10-30
603315,福鞍股份,0.04,-69.44,,0.82,,854.35,-64.51,,10-30
300525,博思软件,0.02,-91.56,,0.5,,240.11,-80.81,,10-30
002836,新宏泽,0.16,-11.11,,5.99,,2500.03,-12.88,,10-30
601127,小康股份,0.06,-89.09,,1.06,,4949.08,-89.91,,10-30
000040,东旭蓝天,1.05,333.88,,11.55,,140460.42,334.4,,10-30
