BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
688.57,1,无敌破坏王2：大闹互联网,34.03,1,735.41,2018-11-23 00:05:03
349.14,2,憨豆特工3,17.25,1,380.35,2018-11-23 00:05:03
282.82,3,毒液：致命守护者,13.98,15,154411.66,2018-11-23 00:05:03
276.75,4,无名之辈,13.68,8,17495.82,2018-11-23 00:05:03
192.86,5,神奇动物：格林德沃之罪,9.53,8,31904.64,2018-11-23 00:05:03
146.90,6,中国蓝盔,7.26,1,155.41,2018-11-23 00:05:03
45.09,7,克隆人,2.23,1,45.77,2018-11-23 00:05:03
5.26,8,邹碧华,0.26,416,1968.40,2018-11-23 00:05:03
4.72,9,最后一公里,0.23,8,36.08,2018-11-23 00:05:03
4.69,10,恐怖快递,0.23,1,12.37,2018-11-23 00:05:03
26.61,11,其它,1.00,0,0.00,2018-11-23 00:05:03
