broker,count,bamount,bcount,samount,scount,top3
国联证券股份有限公司湖北分公司,3,678.43,1,3008.86,2,"莱绅通灵,亚太药业"
浙商证券股份有限公司绍兴分公司,16,29754.64,10,16378.76,6,"永泰能源,贝通信,新农股份,"
金元证券股份有限公司广州白云路证券营业部,3,1934.74,2,545.31,1,"凯盛科技,丰乐种业,中孚实业"
海通证券股份有限公司北京中关村南大街证券营业部,2,462.05,1,899.69,1,"中孚实业,隆利科技"
中国银河证券股份有限公司台州引泉路证券营业部,3,2376.92,2,1990.21,1,"华西股份,凯盛科技"
长城证券股份有限公司上海延安西路证券营业部,1,526.87,1,0.0,0,莱绅通灵
海通证券股份有限公司滁州天长东路证券营业部,9,11405.43,7,1660.14,2,"永泰能源,华控赛格,新华文轩,"
东方证券股份有限公司天津西康路证券营业部,1,313.78,1,0.0,0,中孚实业
广发证券股份有限公司烟台环山路证券营业部,2,723.11,2,0.0,0,"凯盛科技,利通电子"
华泰证券股份有限公司成都南一环路第二证券营业部,10,8966.67,6,4112.1,4,"宏达股份,中润资源,融钰集团,"
广发证券股份有限公司杭州天目山路证券营业部,1,456.22,1,0.0,0,莱绅通灵
华泰证券股份有限公司杭州求是路证券营业部,1,1380.06,1,0.0,0,永泰能源
国海证券股份有限公司太原晋阳街证券营业部,1,264.22,1,0.0,0,中孚实业
宏信证券有限责任公司成都锦城大道证券营业部,3,1202.04,2,931.81,1,"彩讯股份,凯盛科技,西部资源"
东吴证券股份有限公司苏州西北街证券营业部,9,4403.27,4,3703.2,5,"雄韬股份,永泰能源,宏达股份,"
中信证券股份有限公司上海安亭证券营业部,1,244.35,1,0.0,0,莱绅通灵
国泰君安证券股份有限公司顺德东乐路证券营业部,3,238.98,1,2310.94,2,"宏达股份,鹏起科技"
华泰证券股份有限公司宁波柳汀街证券营业部,7,2811.68,4,2376.68,3,"华培动力,沈阳机床,华明装备,"
兴业证券股份有限公司泉州分公司,2,2676.08,2,0.0,0,"方大集团,永泰能源"
国金证券股份有限公司都江堰都江大道证券营业部,1,260.93,1,0.0,0,中孚实业
华泰证券股份有限公司上海共和新路证券营业部,3,1085.69,2,17116.1,1,"易联众,宏达股份,中国外运"
中银国际证券股份有限公司上海欧阳路证券营业部,1,218.07,1,0.0,0,莱绅通灵
上海证券有限责任公司南京胜太路证券营业部,4,2476.78,2,3479.4,2,"永泰能源,沈阳机床,中元股份,"
华安证券股份有限公司北京慧忠北里证券营业部,1,0.0,0,174.8,1,凯盛科技
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,143,65776.43,81,43376.49,62,"青岛银行,鹏起科技,通产丽星,"
华泰证券股份有限公司上海武定路证券营业部,9,6441.53,4,14180.48,5,"顶固集创,兴瑞科技,高斯贝尔,"
长江证券股份有限公司上海世纪大道证券营业部,6,4874.16,4,4632.91,2,"贝通信,鹏起科技,盛弘股份,"
中国银河证券股份有限公司北京建国路证券营业部,9,2529.93,5,3348.63,4,"宇晶股份,顶固集创,华控赛格,"
国泰君安证券股份有限公司成都顺城大街证券营业部,2,0.0,0,680.66,2,"丹邦科技,凯盛科技"
财通证券股份有限公司台州路桥邮电路证券营业部,1,0.0,0,287.71,1,宏达股份
中信证券股份有限公司杭州延安路证券营业部,3,3025.99,2,1104.4,1,"雄韬股份,高斯贝尔,莱绅通灵"
兴业证券股份有限公司佛山魁奇路证券营业部,6,7531.81,4,3890.46,2,"神州信息,鸿达兴业,融钰集团,"
中国银河证券股份有限公司衢州须江路证券营业部,1,0.0,0,322.47,1,中孚实业
广发证券股份有限公司成都新光路证券营业部,2,523.62,1,83.07,1,"吉艾科技,凯盛科技"
华泰证券股份有限公司南京解放路证券营业部,4,4587.43,2,1399.55,2,"罗博特科,蠡湖股份,宏达股份"
中山证券有限责任公司厦门湖滨南路证券营业部,7,1613.64,3,4570.86,4,"伟隆股份,快意电梯,亚太药业,"
安信证券股份有限公司南昌胜利路证券营业部,14,9636.24,9,6773.98,5,"永泰能源,海航科技,宏达股份,"
西南证券股份有限公司深圳滨河大道证券营业部,1,0.0,0,318.95,1,中孚实业
湘财证券股份有限公司北京北四环东路证券营业部,1,0.0,0,69.92,1,凯盛科技
中国银河证券股份有限公司上海东大名路外滩证券营业部,1,0.0,0,213.4,1,宏达股份
天风证券股份有限公司深圳平安金融中心证券营业部,1,0.0,0,482.95,1,莱绅通灵
中国银河证券股份有限公司厦门美湖路证券营业部,8,4439.88,2,12840.37,6,"坚瑞沃能,麦捷科技,华菱钢铁,"
财通证券股份有限公司温州人民东路证券营业部,3,281.96,1,268.33,2,"快意电梯,宁波水表,中孚实业"
中国国际金融股份有限公司北京建国门外大街证券营业部,1,0.0,0,69.26,1,凯盛科技
安信证券股份有限公司深圳龙岗龙翔大道证券营业部,2,0.0,0,6751.28,2,永泰能源
宏信证券有限责任公司北京百万庄大街证券营业部,1,0.0,0,186.05,1,宏达股份
长江证券股份有限公司武汉金融港证券营业部,1,0.0,0,418.18,1,莱绅通灵
民生证券股份有限公司郑州汝河路证券营业部,2,0.0,0,234.62,2,"蔚蓝生物,中孚实业"
华泰证券股份有限公司深圳科苑路百度国际大厦证券营业部,2,0.0,0,533.2,2,"西部资源,宏达股份"
申港证券股份有限公司大连分公司,1,130.43,1,0.0,0,苏州龙杰
爱建证券有限责任公司上海石门二路证券营业部,1,19.87,1,0.0,0,苏州龙杰
华鑫证券有限责任公司上海松江证券营业部,1,0.0,0,4.2,1,苏州龙杰
太平洋证券股份有限公司开远灵泉东路营业部,1,0.0,0,2.8,1,苏州龙杰
中信证券股份有限公司桐乡复兴北路证券营业部,1,0.0,0,2.8,1,苏州龙杰
中信证券股份有限公司绍兴分公司,2,448.02,1,2.8,1,"易成新能,苏州龙杰"
安信证券股份有限公司深圳科发路证券营业部,1,0.0,0,2.8,1,苏州龙杰
中泰证券股份有限公司济宁古槐路证券营业部,1,237.13,1,0.0,0,云煤能源
华西证券股份有限公司深圳民田路证券营业部,2,692.01,2,0.0,0,"瑞康医药,云煤能源"
太平洋证券股份有限公司昆明金碧路证券营业部,1,192.93,1,0.0,0,云煤能源
平安证券股份有限公司银川凤凰北街证券营业部,13,6437.51,8,3494.28,5,"贝通信,风范股份,鹏起科技,"
安信证券股份有限公司北京远大路证券营业部,1,0.0,0,1027.5,1,云煤能源
中信建投证券股份有限公司北京市马家堡西路证券营业部,1,0.0,0,575.08,1,云煤能源
国泰君安证券股份有限公司上海宜山路证券营业部,1,0.0,0,405.39,1,云煤能源
申万宏源证券有限公司上海浦东新区陆家嘴环路证券营业部,2,0.0,0,2301.5,2,"吉艾科技,云煤能源"
长城证券股份有限公司苏州东吴北路证券营业部,1,0.0,0,381.96,1,云煤能源
平安证券股份有限公司佛山季华四路证券营业部,1,696.44,1,0.0,0,紫金银行
华创证券有限责任公司厦门湖滨南路证券营业部,10,4992.59,5,6475.02,5,"日播时尚,快意电梯,伟隆股份"
中信证券股份有限公司广州临江大道证券营业部,2,654.91,1,1288.98,1,"紫金银行,鸿达兴业"
南京证券股份有限公司南京大钟亭证券营业部,2,3169.46,1,2761.47,1,贝通信
西南证券股份有限公司台州市府大道证券营业部,3,1958.68,2,952.04,1,"伟隆股份,日播时尚"
九州证券股份有限公司浙江分公司,6,3175.25,3,3051.3,3,"亚太药业,日播时尚,伟隆股份"
财通证券股份有限公司杭州体育馆证券营业部,32,21112.8,21,14722.53,11,"汉钟精机,新华文轩,蠡湖股份,"
中国中投证券有限责任公司杭州环球中心证券营业部,11,6517.06,5,8051.97,6,"贝通信,长城动漫,顶固集创,"
信达证券股份有限公司温州新城大道证券营业部,7,2183.9,3,2229.12,4,"快意电梯,日播时尚,伟隆股份,"
中泰证券股份有限公司武汉宝丰路证券营业部,8,5105.38,4,10317.37,4,"易成新能,青岛银行,新大洲A,"
中山证券有限责任公司成都天府大道证券营业部,1,1611.84,1,0.0,0,贝通信
江海证券有限公司厦门吕岭路证券营业部,3,582.73,1,1132.15,2,"日播时尚,伟隆股份"
华泰证券股份有限公司厦门厦禾路证券营业部,18,8232.81,9,5786.8,9,"*ST长生,永泰能源,美锦能源,"
国金证券股份有限公司上海互联网证券分公司,11,4605.08,3,6542.87,8,"贝通信,顶固集创,蠡湖股份,"
广州证券股份有限公司丽水中山街证券营业部,8,10608.58,6,4650.6,2,"日播时尚,快意电梯,亚太药业,"
中信建投证券股份有限公司武汉中北路证券营业部,8,3890.5,4,4034.9,4,"易成新能,青岛银行,贝达药业,"
西藏东方财富证券股份有限公司上海徐汇宛平南路证券营业部,4,2584.04,2,1946.88,2,"华明装备,风范股份,新疆交建,"
东海证券股份有限公司福建厦门分公司,4,1900.46,2,1920.05,2,"伟隆股份,日播时尚"
海通证券股份有限公司深圳分公司华富路证券营业部,2,686.56,1,687.21,1,"华培动力,紫金银行"
长江证券股份有限公司浙江分公司,6,1797.77,2,2928.62,4,"伟隆股份,日播时尚"
财通证券股份有限公司厦门厦禾路证券营业部,5,1857.74,2,2797.96,3,"快意电梯,日播时尚"
中山证券有限责任公司杭州杨公堤证券营业部,3,298.44,1,1019.32,2,"快意电梯,日播时尚"
方正证券股份有限公司杭州杭海路证券营业部,1,0.0,0,658.95,1,贝通信
中国银河证券股份有限公司上海长宁区镇宁路证券营业部,6,6350.33,2,6562.83,4,"永泰能源,宏达股份,通产丽星,"
安信证券股份有限公司上海杨浦区殷行路证券营业部,10,13632.61,7,7104.08,3,"宇晶股份,永泰能源,汉钟精机,"
兴业证券股份有限公司陕西分公司,3,2158.61,2,28.96,1,"鹏起科技,ST九有"
国泰君安证券股份有限公司上海福山路证券营业部,11,4628.5,6,4768.82,5,"坚瑞沃能,高斯贝尔,珈伟新能,"
湘财证券股份有限公司武汉友谊大道证券营业部,3,18.99,1,1113.06,2,"罗博特科,ST九有"
安信证券股份有限公司南京中山北路证券营业部,1,0.0,0,2259.99,1,永泰能源
申万宏源证券有限公司上海普陀区武宁路证券营业部,1,7.51,1,0.0,0,ST九有
东北证券股份有限公司长春前进大街证券营业部,1,6.4,1,0.0,0,ST九有
华安证券股份有限公司南京中华路证券营业部,1,0.0,0,21.88,1,ST九有
