RowNum,CinemaName,TodayBox,TodayShowCount,TodayAudienceCount,price,AvgPeople,Attendance
1,金逸北京大悦城IMAX店,345214.98,52,4580,75.37,88.08,48.762310
2,北京耀莱成龙影城（五棵松店）,341641.93,111,7613,44.88,68.59,33.123720
3,卢米埃北京长楹天街IMAX影城,307027.58,58,4673,65.70,80.57,37.701902
4,首都电影院西单店,303133.14,75,5712,53.07,76.16,52.941410
5,上海五角场万达广场店,294554.95,71,5981,49.25,84.24,42.851769
6,广州飞扬影城（正佳分店）,292481.36,58,5904,49.54,101.79,46.292972
7,金逸北京荟聚IMAX店,289680.55,67,5260,55.07,78.51,39.307332
8,CGV影城 深圳壹方城店,280807.82,68,3453,81.32,50.78,29.107531
9,巨幕影城（武汉光谷广场资本大厦店）,276750.19,70,8475,32.65,121.07,56.816796
10,北京寰映合生汇店,267392.87,56,3556,75.19,63.50,48.065601
11,金逸上海龙之梦IMAX店,252371.34,60,4353,57.98,72.55,40.149418
12,广州飞扬影城,241342.29,53,4995,48.32,94.25,42.572685
13,北京通州万达广场店,239671.03,77,3795,63.15,49.29,31.392174
14,北京市金泉港国际影城,231546.83,116,4058,57.06,34.98,26.549979
15,上海百丽宫影城环贸iapm店,229865.17,36,3036,75.71,84.33,48.374760
16,南昌红谷滩万达广场店,224655.55,74,5108,43.98,69.03,43.734124
17,UME影城（北京双井店）,224572.75,67,3561,63.06,53.15,31.864060
18,北京美嘉欢乐影城（中关村）,223508.88,46,5155,43.36,112.07,55.546576
19,深圳百老汇电影中心万象天地店,223460.42,57,3748,59.62,65.75,36.049553
20,武汉汉街万达广场店,222248.98,86,5583,39.81,64.92,44.546160
21,福州仓山万达广场店,220001.91,63,4159,52.90,66.02,46.687321
22,广州市捷登都会飞扬影城,217288.71,90,5947,36.54,66.08,33.204913
23,金逸福州宝龙IMAX店,217152.67,90,4491,48.35,49.90,28.298676
24,深圳保利国际影城,214428.59,62,5369,39.94,86.60,33.826864
25,南京新街口国际影城,213245.72,102,5792,36.82,56.78,41.429503
