broker,count,bamount,bcount,samount,scount,top3
东北证券股份有限公司长春东风大街证券营业部,1,1501.87,1,0.0,0,浙数文化
财富证券有限责任公司杭州庆春路证券营业部,9,4261.8,7,1842.16,2,"中科软,祥鑫科技,瑞达期货,"
东方证券股份有限公司上海浦东新区银城中路证券营业部,6,2692.86,2,7359.41,4,"浙江富润,暴风集团,旋极信息,"
财通证券股份有限公司杭州文二西路证券营业部,3,2731.93,3,0.0,0,"浙大网新,三力士"
国盛证券有限责任公司永康城南路证券营业部,2,470.8,2,0.0,0,"科力尔,同达创业"
华鑫证券有限责任公司珠海海滨南路证券营业部,1,984.41,1,0.0,0,浙大网新
东吴证券股份有限公司苏州石路证券营业部,3,891.98,3,0.0,0,"汇金科技,科华生物,同达创业"
中信证券股份有限公司杭州市心南路证券营业部,3,1327.33,2,2295.18,1,"浙数文化,横河模具,常山北明"
西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,107,68150.53,61,40034.36,46,"渝农商行,浙大网新,生益科技,"
东吴证券股份有限公司海宁海州西路证券营业部,1,1045.78,1,0.0,0,浙江富润
万联证券股份有限公司珠海前山路证券营业部,3,1983.79,2,1065.18,1,"新通联,浙大网新"
中国中投证券有限责任公司广州番禺桥南路证券营业部,6,6103.76,5,43.47,1,"积成电子,广电运通,克劳斯,"
平安证券股份有限公司银川凤凰北街证券营业部,14,12917.76,10,3648.65,4,"渝农商行,浙大网新,振静股份,"
中信证券股份有限公司海宁海昌南路证券营业部,1,763.37,1,0.0,0,浙江富润
华鑫证券有限责任公司上海宛平南路证券营业部,4,3137.1,2,3851.35,2,"古鳌科技,浙数文化,四方精创"
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,133,71846.99,76,47763.66,57,"渝农商行,浙大网新,聚龙股份,"
湘财证券股份有限公司上海陆家嘴证券营业部,3,1059.4,2,664.01,1,"浙大网新,中超控股,环球印务"
中信证券股份有限公司杭州延安路证券营业部,8,3559.09,5,4012.82,3,"安妮股份,四方精创,浙江富润,"
华鑫证券有限责任公司上海红宝石路证券营业部,9,6370.53,3,13032.31,6,"四方精创,浙数文化,海联金汇,"
招商证券股份有限公司深圳深南中路证券营业部,1,217.71,1,0.0,0,天域生态
兴业证券股份有限公司上海分公司,1,652.15,1,0.0,0,浙江富润
中国中投证券有限责任公司深圳分公司,4,1848.28,3,476.06,1,"浙大网新,祥鑫科技,交建股份"
东莞证券股份有限公司湖北分公司,4,1226.33,2,2461.08,2,"飞力达,同达创业"
海通证券股份有限公司滁州天长东路证券营业部,1,500.24,1,0.0,0,浙数文化
申万宏源证券有限公司上海黄浦区新昌路证券营业部,1,0.0,0,1288.1,1,天域生态
广发证券股份有限公司昆山前进东路证券营业部,1,0.0,0,453.19,1,同达创业
中信证券股份有限公司诸暨暨东路证券营业部,2,111.11,1,623.22,1,"蓝英装备,浙江富润"
招商证券股份有限公司深圳蛇口工业三路证券营业部,7,2395.42,4,2997.65,3,"振静股份,高伟达,星期六,"
万和证券股份有限公司成都通盈街证券营业部,9,5528.1,5,4203.5,4,"晨鑫科技,智度股份,文化长城,"
东吴证券股份有限公司常熟阜湖路证券营业部,3,2331.57,1,3237.75,2,"高伟达,同达创业"
平安证券股份有限公司上海零陵路证券营业部,4,1200.52,1,6574.71,3,"晨鑫科技,浙江富润"
中泰证券股份有限公司济宁古槐路证券营业部,2,0.0,0,577.9,2,浙大网新
浙商证券股份有限公司绍兴解放北路证券营业部,2,0.0,0,2307.34,2,"四方精创,天域生态"
安信证券股份有限公司广州体育西路证券营业部,1,0.0,0,293.38,1,同达创业
广发证券股份有限公司宁波丽园北路证券营业部,2,0.0,0,318.45,2,浙大网新
平安证券股份有限公司长沙五一大道证券营业部,2,390.81,1,309.34,1,"宇瞳光学,天域生态"
长江证券股份有限公司佛山普澜二路证券营业部,1,0.0,0,285.83,1,同达创业
五矿证券有限公司杭州市心北路证券营业部,2,0.0,0,1358.81,2,"漫步者,浙江富润"
华泰证券股份有限公司深圳红荔路证券营业部,12,14945.97,4,8221.13,8,"佳禾智能,爱迪尔,金固股份,"
华鑫证券有限责任公司南京清凉门大街证券营业部,1,0.0,0,431.91,1,浙数文化
国信证券股份有限公司杭州分公司,1,0.0,0,189.52,1,同达创业
西藏东方财富证券股份有限公司浙江分公司,10,14049.41,6,4468.13,4,"漫步者,聚龙股份,古鳌科技,"
国信证券股份有限公司上海北京东路证券营业部,8,1510.78,2,1740.87,6,"新通联,山石网科,深科技,"
沪股通专用,16,20364.88,5,41068.91,11,"生益科技,龙元建设,亿嘉和,"
招商证券股份有限公司深圳深南东路证券营业部,28,15959.69,20,3966.23,8,"振静股份,常山北明,中青宝,"
申万宏源证券有限公司西安长安北路证券营业部,1,1088.1,1,0.0,0,龙元建设
国金证券股份有限公司上海奉贤区金碧路证券营业部,18,7853.65,9,2693.05,9,"渝农商行,振静股份,奥马电器,"
长城证券股份有限公司仙桃钱沟路证券营业部,2,2432.92,1,2612.36,1,中科软
东方证券股份有限公司抚顺新华大街证券营业部,2,379.93,1,341.34,1,广东骏亚
华泰证券股份有限公司广州珠江西路证券营业部,3,1638.69,2,1036.3,1,振静股份
第一创业证券股份有限公司杭州来福士证券营业部,1,1027.64,1,0.0,0,龙元建设
国泰君安证券股份有限公司成都北一环路证券营业部,11,7108.48,5,7180.2,6,"中科软,金固股份,高伟达,"
国泰君安证券股份有限公司深圳滨海大道创投大厦证券营业部,6,3425.05,3,4599.0,3,"乐心医疗,漫步者,新通联,"
国泰君安证券股份有限公司淄博柳泉路证券营业部,2,300.74,1,297.25,1,广东骏亚
广发证券股份有限公司江门万达广场证券营业部,8,3764.2,2,8027.85,6,"中科软,银之杰,强力新材,"
申万宏源证券有限公司上海青浦区公园路证券营业部,1,677.08,1,0.0,0,龙元建设
招商证券股份有限公司北京车公庄西路证券营业部,19,17247.12,11,5363.71,8,"佳禾智能,新通联,漫步者,"
华福证券有限责任公司泉州分公司,8,7084.08,4,6012.99,4,"聚龙股份,智度股份,振静股份"
国联证券股份有限公司海门长江南路证券营业部,1,671.76,1,0.0,0,龙元建设
光大证券股份有限公司宁波解放南路证券营业部,1,1454.79,1,0.0,0,中科软
中信建投证券股份有限公司广州花城大道证券营业部,1,499.07,1,0.0,0,新通联
民生证券股份有限公司驻马店交通路证券营业部,6,4210.52,4,2720.16,2,"振静股份,古鳌科技,米奥兰特,"
中山证券有限责任公司广州云城东路证券营业部,1,0.0,0,2427.48,1,龙元建设
兴业证券股份有限公司深圳侨香路证券营业部,1,0.0,0,613.47,1,广东骏亚
华泰证券股份有限公司舟山解放东路证券营业部,2,0.0,0,1462.33,2,"爱迪尔,振静股份"
联储证券有限责任公司深圳滨海大道易思博证券营业部,2,0.0,0,1380.04,2,"中泰股份,龙元建设"
国元证券股份有限公司大连黄河路证券营业部,2,0.0,0,3881.7,2,"鲁商发展,新通联"
招商证券股份有限公司深圳深南大道车公庙证券营业部,8,6758.43,4,4902.05,4,"中青宝,振静股份,飞天诚信,"
川财证券有限责任公司乐山五通桥文化街证券营业部,1,0.0,0,716.53,1,振静股份
中山证券有限责任公司广州分公司,1,0.0,0,762.21,1,龙元建设
国泰君安证券股份有限公司慈溪开发大道证券营业部,1,0.0,0,502.72,1,广东骏亚
中国中投证券有限责任公司上海杨浦区黄兴路证券营业部,1,0.0,0,363.32,1,新通联
