IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,WomIndex
1,少年的你,1183,106830,38,3,10,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,-91,
2,天气之子,962,12218,35,3,3,http://images.entgroup.cn/group1/M00/05/27/wKgASV27oz-AfYGhAAGdwalr-KE581.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2UjbWAFK--AAB2X31DO-c492.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2UjbWAI3SQAAA2lAsO9jA070.jpg,-86,
3,终结者：黑暗命运,835,14871,41,2,3,http://images.entgroup.cn/group2/M00/02/94/wKgAS127o-eARGD4AAO_MTiZfpc126.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2lYrKAIPsxAABlo9dA5FQ550.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2lYrKAQqRXAAA0vvvsooU144.jpg,-89,
4,双子杀手,61,23030,82,4,17,http://images.entgroup.cn/group2/M00/02/93/wKgAS12pLnqAYm2lAAIUB6FeWvs259.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lfWuAdRw8AABMGsWJ0vM882.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lfWuADkkZAAAnK9TNKBU085.jpg,-60,
5,中国机长,55,283250,36,1,35,http://images.entgroup.cn/group1/M00/05/22/wKgASV2bMPWAfPBbAAL_whHbVRs784.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV2AgMGAB6kZAAB8yi1T_ZQ512.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV2AgMGAcmszAABAGCx2fhc830.jpg,-91,
6,沉睡魔咒2,54,32786,38,2,17,http://images.entgroup.cn/group2/M00/02/93/wKgASl2pLz6AXTWpAAPcZFIJ2Xc249.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgASl2lYPmAIOXbAABkzVtbtSU766.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgASl2lYPmAWTaYAAAwL2ufbuY504.jpg,-89,
7,受益人,40,253,39,14,-4,,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,-75,
8,我和我的祖国,39,287098,36,3,35,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,-91,
9,萤火奇兵2：小虫不好惹,25,276,32,1,2,,http://images.entgroup.cn/group2/M00/02/93/wKgAS12la5CAEya3AACQ6LjZai0588.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12la5CALpMhAABIvy0mn3I224.jpg,-84,
10,航海王：狂热行动,20,20125,33,2,17,http://images.entgroup.cn/group2/M00/02/93/wKgASl2pLtmAbhICAAOZoHzYzOs340.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2QUlCAEP5AAACqBN7vg7g734.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12QUlKAX0WIAABSbpTqBMY961.jpg,-82,
