Irank,MovieName,BoxOffice,sumBoxOffice,movieDay,boxPer,larger_url,default_url,moblie_url,time
1,少年的你,1300.63,106947.48,10,35.70,http://images.entgroup.cn/group2/M00/02/94/wKgASl27pH6Aevr_AAMDUhtCw8I903.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqS-AK9xkAACOPjzVcA4994.jpg,http://images.entgroup.cn/group1/M00/05/25/wKgASV2uqTCAFRuPAABEcjQyONQ604.jpg,2019-11-03 00:41:06
2,天气之子,1042.32,12297.48,3,28.61,http://images.entgroup.cn/group1/M00/05/27/wKgASV27oz-AfYGhAAGdwalr-KE581.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2UjbWAFK--AAB2X31DO-c492.jpg,http://images.entgroup.cn/group1/M00/05/22/wKgASV2UjbWAI3SQAAA2lAsO9jA070.jpg,2019-11-03 00:41:06
3,终结者：黑暗命运,882.40,14918.25,3,24.22,http://images.entgroup.cn/group2/M00/02/94/wKgAS127o-eARGD4AAO_MTiZfpc126.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2lYrKAIPsxAABlo9dA5FQ550.jpg,http://images.entgroup.cn/group1/M00/05/24/wKgASV2lYrKAQqRXAAA0vvvsooU144.jpg,2019-11-03 00:41:06
4,双子杀手,63.29,23031.64,17,1.74,http://images.entgroup.cn/group2/M00/02/93/wKgAS12pLnqAYm2lAAIUB6FeWvs259.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lfWuAdRw8AABMGsWJ0vM882.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12lfWuADkkZAAAnK9TNKBU085.jpg,2019-11-03 00:41:06
5,中国机长,59.76,283255.44,35,1.64,http://images.entgroup.cn/group1/M00/05/22/wKgASV2bMPWAfPBbAAL_whHbVRs784.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV2AgMGAB6kZAAB8yi1T_ZQ512.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV2AgMGAcmszAABAGCx2fhc830.jpg,2019-11-03 00:41:06
6,沉睡魔咒2,59.51,32791.32,17,1.63,http://images.entgroup.cn/group2/M00/02/93/wKgASl2pLz6AXTWpAAPcZFIJ2Xc249.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgASl2lYPmAIOXbAABkzVtbtSU766.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgASl2lYPmAWTaYAAAwL2ufbuY504.jpg,2019-11-03 00:41:06
7,我和我的祖国,45.60,287104.39,35,1.25,http://images.entgroup.cn/group1/M00/05/23/wKgASV2e092ADq8cAALQbAKc73E344.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiAGhZmAACCZzeu0MY565.jpg,http://images.entgroup.cn/group1/M00/05/1F/wKgASV1-9TiASeg5AABBtQjjXlU122.jpg,2019-11-03 00:41:06
8,受益人,42.41,255.28,-4,1.16,,http://images.entgroup.cn/group2/M00/02/94/wKgASl23mVWAd_zgAABj3anNrQQ938.jpg,http://images.entgroup.cn/group2/M00/02/94/wKgAS123mWSAVOlIAAAvmMoX_ow154.jpg,2019-11-03 00:41:06
9,萤火奇兵2：小虫不好惹,26.29,276.92,2,0.72,,http://images.entgroup.cn/group2/M00/02/93/wKgAS12la5CAEya3AACQ6LjZai0588.jpg,http://images.entgroup.cn/group2/M00/02/93/wKgAS12la5CALpMhAABIvy0mn3I224.jpg,2019-11-03 00:41:06
10,航海王：狂热行动,22.59,20127.17,17,0.62,http://images.entgroup.cn/group2/M00/02/93/wKgASl2pLtmAbhICAAOZoHzYzOs340.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgASl2QUlCAEP5AAACqBN7vg7g734.jpg,http://images.entgroup.cn/group2/M00/02/91/wKgAS12QUlKAX0WIAABSbpTqBMY961.jpg,2019-11-03 00:41:06
11,其它,98.68,0.00,0,1.00,,,,2019-11-03 00:41:06
