code,name,count,bamount,samount,net,bcount,scount
000651,格力电器,1,482205.73,135383.43,346822.3,5,4
000338,潍柴动力,1,90626.26,24552.89,66073.37,3,4
002100,天康生物,2,159240.28,107773.08,51467.2,7,9
300793,佳禾智能,3,47436.25,24274.24,23162.02,15,13
002351,漫步者,3,38688.08,21341.22,17346.86,10,12
002195,二三四五,1,19306.12,8463.12,10843.0,5,5
000676,智度股份,5,83578.41,73041.7,10536.71,23,20
300598,诚迈科技,1,14858.42,4323.68,10534.74,3,5
603815,交建股份,4,14861.57,5107.6,9753.96,15,15
002201,九鼎新材,1,10734.49,1823.1,8911.39,5,5
300468,四方精创,2,37816.16,29359.41,8456.75,10,11
300661,圣邦股份,1,13945.31,5496.46,8448.85,5,5
300348,长亮科技,1,14644.88,6379.91,8264.97,5,5
002488,金固股份,2,17611.4,9533.4,8078.0,9,10
300429,强力新材,1,13746.84,6111.88,7634.96,5,5
603068,博通集成,1,20082.19,12627.42,7454.77,5,4
600216,浙江医药,1,16414.29,9067.42,7346.87,4,4
603610,麒盛科技,2,11850.47,4841.81,7008.66,11,10
002104,恒宝股份,1,19075.21,12639.53,6435.68,5,5
300748,金力永磁,1,16628.17,10217.25,6410.93,5,5
002552,宝鼎科技,1,12041.38,5703.24,6338.14,5,5
300792,壹网壹创,3,28691.89,22419.71,6272.19,10,13
300007,汉威科技,1,9265.47,3407.84,5857.63,5,5
002626,金达威,1,12085.48,6346.57,5738.91,5,5
300431,暴风集团,2,18815.11,13142.08,5673.03,12,10
300202,聚龙股份,4,46982.82,41446.07,5536.75,16,16
002280,联络互动,2,14612.56,9180.56,5432.0,10,9
600152,维科技术,2,15875.72,10493.48,5382.23,10,12
300510,金冠股份,1,10465.54,5099.64,5365.9,5,5
600208,新湖中宝,3,18270.27,13005.05,5265.21,17,16
002369,卓翼科技,1,11418.22,6353.44,5064.77,5,5
300386,飞天诚信,1,27381.49,22330.9,5050.58,6,6
300297,蓝盾股份,1,9083.88,4428.27,4655.61,5,5
002865,钧达股份,2,13610.17,9061.23,4548.93,7,9
000949,新乡化纤,1,9985.53,5974.52,4011.01,5,5
002183,怡亚通,1,8820.61,4902.84,3917.77,5,5
603927,中科软,4,36430.98,32561.19,3869.79,16,13
688010,福光股份,2,9318.73,5461.58,3857.15,10,9
603081,大丰实业,1,10024.4,6252.84,3771.56,5,5
603022,新通联,2,8666.37,4994.99,3671.37,9,10
601918,新集能源,1,5654.72,2214.5,3440.22,5,5
002963,豪尔赛,3,5790.67,2407.23,3383.44,15,13
000895,双汇发展,1,18476.27,15109.61,3366.66,5,5
300449,汉邦高科,1,5672.15,2411.41,3260.75,5,5
000555,神州信息,2,29375.35,26134.98,3240.37,10,9
300795,米奥兰特,3,12622.27,9415.75,3206.52,14,15
300052,中青宝,2,19480.58,16341.01,3139.57,11,12
300262,巴安水务,1,5319.66,2185.5,3134.15,5,5
600515,海航基础,1,3119.38,0.0,3119.38,5,0
601077,渝农商行,2,29825.94,26781.06,3044.88,6,7
002117,东港股份,1,4394.3,1541.7,2852.6,5,5
002965,祥鑫科技,3,9044.36,6268.86,2775.5,11,10
300552,万集科技,1,10950.45,8235.32,2715.14,4,5
600070,浙江富润,1,4840.59,2161.21,2679.38,5,5
002052,同洲电子,2,10032.91,7387.54,2645.36,8,9
300067,安诺其,1,4558.17,2069.09,2489.08,5,5
000546,金圆股份,1,6178.87,3690.88,2487.99,5,4
600331,宏达股份,1,4705.99,2263.8,2442.2,5,5
300240,飞力达,2,23866.27,21660.81,2205.45,12,10
002799,环球印务,1,3543.18,1610.24,1932.94,5,5
603060,国检集团,1,8453.86,6781.32,1672.54,3,5
688030,山石网科,2,10228.45,8647.07,1581.38,8,10
002961,瑞达期货,4,18739.29,17195.58,1543.71,11,14
000058,深赛格,1,3841.82,2349.86,1491.96,5,5
603232,格尔软件,1,10254.47,8827.48,1426.99,5,5
300085,银之杰,1,8804.55,7413.14,1391.42,5,5
000668,荣丰控股,1,4048.16,2821.09,1227.08,5,5
002699,美盛文化,1,8340.55,7137.51,1203.04,5,5
002152,广电运通,1,8536.2,7595.07,941.14,5,5
002339,积成电子,1,12519.53,11740.43,779.1,5,5
002740,爱迪尔,2,15836.07,15245.05,591.02,12,11
600633,浙数文化,1,4767.57,4197.21,570.36,5,2
002044,美年健康,1,63813.79,63246.09,567.7,5,5
002143,印纪退,5,1372.36,823.21,549.16,21,23
002098,浔兴股份,1,3094.28,2567.12,527.16,5,5
000982,*ST中绒,1,1189.59,782.55,407.04,5,5
000048,康达尔,1,2381.95,2014.67,367.28,5,5
002261,拓维信息,1,4638.06,4270.87,367.19,5,4
601789,宁波建工,1,3368.2,3006.92,361.29,5,5
600052,浙江广厦,1,2574.92,2365.25,209.68,5,5
600321,ST正源,1,467.04,267.55,199.49,5,5
300799,左江科技,2,203.44,17.09,186.35,5,10
300108,吉药控股,1,1370.48,1189.32,181.16,5,5
300539,横河模具,1,1469.71,1327.69,142.02,5,5
300797,钢研纳克,1,136.79,6.15,130.64,3,1
300731,科创新源,1,3226.41,3162.14,64.28,3,5
002668,奥马电器,2,24673.99,24644.51,29.48,8,6
600242,中昌数据,1,1731.79,1715.41,16.38,5,5
600747,退市大控,5,13.57,15.84,-2.27,16,9
300293,蓝英装备,1,925.88,938.35,-12.47,5,5
002022,科华生物,1,1588.21,1679.07,-90.86,5,5
603477,振静股份,3,26449.52,26550.27,-100.74,14,19
600677,航天通信,1,752.31,889.96,-137.65,5,5
000591,太阳能,1,4513.89,4704.32,-190.43,5,5
002680,长生退,5,667.05,867.73,-200.68,21,19
603366,日出东方,2,5692.11,5939.53,-247.42,10,10
002035,华帝股份,1,15845.41,16125.72,-280.31,4,5
300667,必创科技,1,2023.66,2321.92,-298.26,5,5
300790,宇瞳光学,4,16118.09,16457.7,-339.61,15,15
300362,天翔环境,1,906.79,1294.25,-387.45,5,5
002065,东华软件,1,14766.59,15223.5,-456.9,5,4
300674,宇信科技,1,2174.75,2677.29,-502.55,4,5
603738,泰晶科技,1,950.28,1471.78,-521.5,5,5
300239,东宝生物,1,7377.59,7922.39,-544.81,5,5
300561,汇金科技,2,5986.35,6575.43,-589.09,10,10
603386,广东骏亚,2,4241.74,4890.29,-648.56,8,9
000526,紫光学大,1,1401.24,2051.95,-650.71,5,5
002412,汉森制药,1,1823.49,2543.31,-719.82,5,5
600647,同达创业,1,789.05,1540.32,-751.27,5,5
000673,当代东方,2,3098.33,3972.3,-873.97,10,9
603787,新日股份,1,354.28,1248.68,-894.39,9,5
002471,中超控股,1,662.35,1593.6,-931.25,5,5
300089,文化长城,3,19285.07,20235.6,-950.53,13,16
002359,*ST北讯,1,345.74,1435.39,-1089.65,5,5
000018,*ST神城,1,1807.15,3001.32,-1194.17,5,5
300313,天山生物,1,2276.39,3505.35,-1228.96,5,5
603703,盛洋科技,1,2101.47,3349.62,-1248.15,5,5
600876,洛阳玻璃,1,3713.85,4982.24,-1268.39,5,5
300785,值得买,1,4672.14,5979.9,-1307.76,5,5
000038,深大通,1,2845.18,4230.69,-1385.51,5,5
002634,棒杰股份,1,1986.44,3424.11,-1437.68,5,5
002770,科迪乳业,1,1287.71,2832.41,-1544.7,5,5
300477,合纵科技,1,3952.81,5503.61,-1550.8,5,5
600615,丰华股份,2,4959.53,6532.63,-1573.1,9,9
603317,天味食品,1,1038.33,2616.23,-1577.9,5,5
600986,科达股份,1,6220.56,7806.55,-1585.99,5,5
002089,*ST新海,1,2784.23,4384.13,-1599.9,5,5
603717,天域生态,1,1357.81,2968.16,-1610.35,5,5
002235,安妮股份,2,31216.89,32841.48,-1624.59,10,10
300427,红相股份,1,4254.22,5964.63,-1710.41,5,5
000711,京蓝科技,3,8072.4,9802.76,-1730.37,15,15
600579,克劳斯,1,2042.52,3807.77,-1765.25,5,5
002563,森马服饰,1,4525.56,6332.29,-1806.73,4,2
300368,汇金股份,1,2152.9,4020.73,-1867.82,5,5
002303,美盈森,2,12581.29,14482.66,-1901.37,8,8
000606,顺利办,3,17135.65,19055.86,-1920.22,12,14
300356,光一科技,1,4052.94,6038.46,-1985.52,5,5
000662,天夏智慧,1,2572.81,4660.41,-2087.6,5,5
002962,五方光电,2,8122.34,10268.03,-2145.69,8,6
002718,友邦吊顶,1,1451.52,3639.26,-2187.74,5,5
