Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
46.737817,96.77,Jackie Chan北京耀莱,1,10742,482835.00,111,44.95
44.364978,58.46,北京市金泉港国际影城,2,6664,480305.00,114,72.07
66.007703,119.23,金逸北京大悦城IMAX店,3,6319,479602.50,53,75.90
49.884128,109.69,广州飞扬影城（正佳分店）,4,6362,453141.00,58,71.23
50.821973,108.61,卢米埃北京长楹天街IMAX影城,5,6625,439017.00,61,66.27
53.547020,101.10,上海五角场万达广场店,6,6268,434712.20,62,69.35
53.079957,106.02,金逸北京荟聚IMAX店,7,6997,416339.00,66,59.50
50.894614,85.55,北京UME国际影城双井店,8,5561,415055.05,65,74.64
54.568123,99.53,深圳市百老汇电影中心影城,9,6171,412948.00,62,66.92
51.103738,96.27,北京UME华星国际影城,10,4332,411605.08,45,95.02
45.535869,79.44,CGV影城 深圳壹方城店,11,5243,381534.00,66,72.77
49.356409,71.04,首都电影院西单店,12,5612,379538.94,79,67.63
65.146134,113.57,上海百丽宫影城（环贸iapm店）,13,3975,369283.00,35,92.90
54.150478,74.22,南京新街口国际影城,14,7422,368308.20,100,49.62
50.494245,67.80,SFC上影影城（港汇恒隆永华店）,15,4407,351978.30,65,79.87
61.551060,81.32,北京寰映合生汇店,16,4635,350801.50,57,75.69
47.427644,85.70,金逸上海龙之梦IMAX店,17,4885,346241.70,57,70.88
59.637016,98.33,广州市百丽宫猎德影院,18,4818,324556.00,49,67.36
37.553442,58.96,北京通州万达广场店,19,4304,319891.33,73,74.32
59.042271,88.01,武汉汉街万达广场店,20,7129,305911.80,81,42.91
46.200213,70.77,武商摩尔国际电影城,21,7926,300585.00,112,37.92
44.355644,98.19,广州飞扬影城,22,5106,300022.00,52,58.76
56.471438,86.78,中影国际影城上海合生汇店,23,4686,297749.00,54,63.54
33.448093,85.63,深圳保利国际影城,24,5052,297638.00,59,58.91
35.877305,71.85,中影国际影城深圳南山欢乐海岸店,25,4383,293012.00,61,66.85
34.811281,75.93,北京万达影城天通苑龙德广场店,26,4176,292122.84,55,69.95
61.223309,75.26,广州UA花城汇影院,27,4967,291974.00,66,58.78
49.056256,97.62,广州市捷登都会飞扬影城,28,8005,290561.00,82,36.30
44.488744,56.80,北京UME国际影城（安贞店）,29,4203,290303.48,74,69.07
48.426298,87.60,中影国际影城上海金科路店,30,5519,289874.00,63,52.52
59.066371,95.35,上海和平影都,31,3814,282268.00,40,74.01
51.803394,91.56,百丽宫影城长宁来福士店,32,4395,279598.00,48,63.62
52.282025,66.71,SFC上影影城（八佰伴店）,33,3936,279497.00,59,71.01
59.074194,118.74,北京嘉华国际影城,34,5462,275439.30,46,50.43
44.796845,72.08,卢米埃深圳九方IMAX影城,35,4613,272825.00,64,59.14
47.365056,80.84,广州白云万达广场店,36,4446,272312.90,55,61.25
54.382845,109.72,北京美嘉欢乐影城（中关村）,37,5047,272009.00,46,53.90
48.431575,93.67,深圳市CINESKY新天影院(壹方天地IMAX店),38,5058,271730.00,54,53.72
39.867713,91.42,金逸天津大悦城IMAX店,39,5485,270865.00,60,49.38
38.486926,61.27,北京石景山万达广场店,40,3615,268135.01,59,74.17
30.339254,60.49,北京美嘉欢乐影城（三里屯店）,41,2722,267366.00,45,98.22
55.209000,86.55,成都锦华万达广场店,42,5972,264200.50,69,44.24
48.060989,81.78,大连高新万达广场店,43,6052,262554.90,74,43.38
37.536842,62.56,CGV影城 上海七宝店,44,3566,260849.00,57,73.15
39.806084,58.12,深圳市万象影城罗湖万象城店,45,4475,260056.70,77,58.11
35.295989,59.74,上海松江万达广场店,46,3883,259840.50,65,66.92
45.574133,71.35,北京CBD万达广场店,47,3068,258519.50,43,84.26
65.761072,95.81,武汉博纳国际电影城,48,6515,258004.00,68,39.60
64.344868,90.65,金逸广州海珠城IMAX店 ,49,4351,256848.60,48,59.03
