BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
21344.50,1,海王,85.45,3,64321.59,2018-12-09 21:09:36
1456.47,2,无名之辈,5.83,24,74394.84,2018-12-09 21:09:36
735.20,3,无敌破坏王2：大闹互联网,2.94,17,26595.50,2018-12-09 21:09:36
525.19,4,狗十三,2.10,3,2001.82,2018-12-09 21:09:36
328.71,5,毒液：致命守护者,1.32,31,185570.05,2018-12-09 21:09:36
166.70,6,憨豆特工3,0.67,17,16834.33,2018-12-09 21:09:36
148.90,7,惊涛飓浪,0.60,3,784.87,2018-12-09 21:09:36
91.65,8,三只小猪2,0.37,562,2663.39,2018-12-09 21:09:36
46.55,9,恐龙王,0.19,30,2828.20,2018-12-09 21:09:36
40.39,10,神奇动物：格林德沃之罪,0.16,24,39765.02,2018-12-09 21:09:36
95.37,11,其它,1.00,0,0.00,2018-12-09 21:09:36
