IRank,MovieName,BoxOffice,SumBoxOffice,AvgPrice,AvpPeoPle,MovieDay,larger_url,default_url,moblie_url,BoxOffice_Up,WomIndex
1,速度与激情：特别行动,1181,71362,38,2,4,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Fr2APxnPAAPHtKc_JQU487.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuAaBzbAABtrYa2dJM227.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05FhuACFOGAAA6hff4ACs568.jpg,-93,
2,哪吒之魔童降世,326,447083,33,1,32,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1ChNyATf2oAAQTJ5RJYUk963.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAKrbcAABr892L23I638.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS10-kBmAZ4eQAAAw_47ePSo424.jpg,-94,
3,烈火英雄,116,156361,35,1,26,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgZaAfNe-AAO7Ksr26TA049.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgAS11CgQGAaweAAAB7sr_UZpk254.jpg,http://images.entgroup.cn/group2/M00/02/8B/wKgASl1CgPiAcxWVAAA3_PvNj4s646.jpg,-92,
4,愤怒的小鸟2,44,11549,34,1,11,,http://images.entgroup.cn/group2/M00/02/8A/wKgAS105FBWAPcfiAABuzL0-LS8001.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS105FBWAGbeMAAA1h_XtngE876.jpg,-93,
5,使徒行者2：谍影行动,34,67072,40,1,20,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtPSAb7bDAANOV7yRh2s655.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtJmAfsk2AABiQvHO9G8859.jpg,http://images.entgroup.cn/group1/M00/05/14/wKgASV1DtJmAdTE8AAAx91MPpTM365.jpg,-91,
6,古田军号,33,1956,37,2,26,,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yeAZaT6AABV0DGv2w4456.jpg,http://images.entgroup.cn/group1/M00/05/11/wKgASV0m9yiAI8dxAAAq10-ShCI339.jpg,-46,
7,保持沉默,30,1412,37,1,4,,http://images.entgroup.cn/group1/M00/05/05/wKgASVz3UyqABhY1AABsxicEtbU454.jpg,http://images.entgroup.cn/group1/M00/05/05/wKgASVz3UyqAd0TaAAA1x7vNf_Y620.jpg,-90,
8,昆虫总动员2：来自远方的后援军,26,1101,59,1,4,,http://images.entgroup.cn/group1/M00/05/12/wKgASV02wEiAZ3q2AABnQfQR2ds327.jpg,http://images.entgroup.cn/group1/M00/05/12/wKgASV02wEiAZ2LZAAAx9LsJzNA347.jpg,-91,
9,骡子,23,30,40,1,1,,http://images.entgroup.cn/group1/M00/05/12/wKgASV03uAKAeVu9AAA4b495jvg284.jpg,http://images.entgroup.cn/group1/M00/05/12/wKgASV03uAKAIWHuAAAbQOGDOZA805.jpg,0,
10,红星照耀中国,22,2225,25,2,19,,http://images.entgroup.cn/group2/M00/02/89/wKgASl0tLsSAOwOmAABhUdMdjzw050.jpg,http://images.entgroup.cn/group2/M00/02/89/wKgAS10tLtOAbIgVAAAzK97S404121.jpg,-51,
