code,name,count,bamount,samount,net,bcount,scount
002129,中环股份,1,56582.66,33337.3,23245.36,5,4
000636,风华高科,1,43027.95,20714.65,22313.29,8,8
002600,领益智造,1,50296.93,28880.04,21416.89,5,5
000021,深科技,2,39191.35,23375.09,15816.26,10,10
600812,华北制药,2,19291.82,6746.51,12545.32,9,8
002312,三泰控股,1,15800.08,3361.06,12439.02,5,5
601865,福莱特,2,26359.77,16515.54,9844.23,6,7
603999,读者传媒,3,13682.12,6635.78,7046.34,11,13
002017,东信和平,1,8752.53,1877.32,6875.21,5,5
002830,名雕股份,2,18293.15,12418.12,5875.03,7,10
300194,福安药业,1,9072.86,3396.41,5676.45,5,5
300778,新城市,4,17941.82,12465.21,5476.61,15,19
600354,敦煌种业,1,6611.09,1360.69,5250.41,5,5
600069,银鸽投资,1,11601.41,6381.09,5220.32,7,5
300274,阳光电源,1,9223.28,4377.21,4846.07,5,5
000519,中兵红箭,1,8050.58,3311.8,4738.78,5,5
000088,盐田港,1,10518.29,5814.41,4703.88,5,5
603530,神马电力,4,22701.66,18129.25,4572.41,19,20
000056,皇庭国际,3,13802.23,9259.92,4542.31,11,14
600604,市北高新,1,7782.6,3248.9,4533.7,5,5
000025,特力A,1,8507.95,4006.09,4501.86,5,5
000921,海信家电,1,12746.98,8388.95,4358.03,3,5
000058,深赛格,2,6487.05,2180.87,4306.18,10,10
601236,红塔证券,1,17635.24,13412.27,4222.97,5,5
603983,丸美股份,1,10909.26,6739.15,4170.11,4,2
300593,新雷能,1,17737.19,13635.78,4101.41,8,5
002957,科瑞技术,3,25523.54,21442.07,4081.47,15,15
300602,飞荣达,1,21434.31,17498.98,3935.33,5,5
603115,海星股份,5,21402.63,17572.64,3829.99,19,19
300556,丝路视觉,1,5475.91,1881.12,3594.78,5,5
300541,先进数通,1,5584.46,2070.74,3513.72,5,5
000014,沙河股份,1,6126.73,2778.18,3348.55,5,5
002121,科陆电子,1,7622.8,4398.75,3224.05,5,5
300731,科创新源,1,4326.24,1145.98,3180.26,5,5
600626,申达股份,1,5685.26,2540.31,3144.95,5,5
300154,瑞凌股份,1,5978.28,3095.67,2882.61,5,5
300414,中光防雷,1,4497.67,1736.15,2761.52,5,5
002052,同洲电子,1,7262.35,4622.11,2640.24,5,5
002218,拓日新能,1,3859.82,1260.7,2599.12,5,5
603169,兰石重装,1,5519.55,3013.88,2505.68,5,5
002045,国光电器,1,7593.87,5124.79,2469.08,5,5
300543,朗科智能,1,5532.66,3135.88,2396.78,5,5
002041,登海种业,1,4643.68,2300.99,2342.69,5,5
300748,金力永磁,3,25249.43,22926.42,2323.01,12,13
300787,海能实业,2,2188.63,68.43,2120.2,6,10
300118,东方日升,1,6834.47,4800.57,2033.9,5,5
300369,绿盟科技,1,8838.13,6824.93,2013.21,5,4
300074,华平股份,1,3020.44,1036.09,1984.35,5,5
600226,瀚叶股份,1,4039.1,2065.12,1973.98,5,5
002903,宇环数控,4,19424.03,17608.95,1815.08,14,15
002565,顺灏股份,1,10009.72,8246.36,1763.36,5,5
300350,华鹏飞,1,2486.91,850.72,1636.19,5,5
002201,九鼎新材,5,92901.53,91290.59,1610.94,19,21
603566,普莱柯,1,6313.74,4719.12,1594.62,4,5
600518,ST康美,1,8056.75,6482.42,1574.33,5,5
601127,小康股份,1,1565.34,0.0,1565.34,5,0
300468,四方精创,1,2652.44,1133.95,1518.5,5,5
603633,徕木股份,1,3094.82,1625.62,1469.2,5,5
300238,冠昊生物,1,2833.94,1525.57,1308.37,5,5
600293,三峡新材,1,1813.42,531.13,1282.29,5,5
300615,欣天科技,2,5734.06,4498.01,1236.05,9,10
002939,长城证券,3,63004.95,61785.38,1219.56,14,14
300317,珈伟新能,2,10835.06,9616.42,1218.65,10,10
600647,同达创业,1,4152.95,2964.13,1188.81,5,5
601330,绿色动力,1,3971.53,2883.64,1087.89,5,5
002183,怡亚通,1,5221.85,4140.08,1081.77,5,5
603998,方盛制药,1,2393.91,1348.32,1045.58,5,5
000032,深桑达A,1,3544.56,2499.23,1045.33,5,5
002797,第一创业,1,11506.19,10543.91,962.28,5,5
300700,岱勒新材,2,5723.38,4813.61,909.77,9,10
000017,深中华A,3,15090.66,14221.53,869.13,14,15
603327,福蓉科技,1,4639.03,3800.26,838.77,5,5
002885,京泉华,2,11144.89,10365.81,779.09,8,8
300538,同益股份,2,9163.37,8452.93,710.43,10,10
300151,昌红科技,1,1839.83,1214.14,625.69,5,5
002960,青鸟消防,1,6932.79,6423.26,509.53,5,5
300110,华仁药业,1,2261.36,1774.12,487.25,5,5
300429,强力新材,1,5876.95,5404.28,472.67,5,5
600666,*ST瑞德,1,3404.0,2945.13,458.87,5,5
300526,中潜股份,1,4055.86,3673.34,382.52,5,5
002959,小熊电器,1,385.18,24.66,360.52,4,5
688007,光峰科技,2,15246.05,14918.28,327.77,8,8
002905,金逸影视,2,7305.97,6993.12,312.85,10,10
300674,宇信科技,1,2326.27,2039.74,286.53,5,5
002750,龙津药业,1,6069.84,5850.85,218.99,5,5
002316,亚联发展,1,3607.34,3403.91,203.43,5,5
300702,天宇股份,1,7482.24,7372.28,109.96,5,5
600856,ST中天,1,1564.13,1492.43,71.7,5,5
300775,三角防务,4,23613.52,23556.24,57.28,13,13
600152,维科技术,1,5661.41,5624.33,37.08,5,5
002835,同为股份,1,3156.19,3200.61,-44.42,5,5
300278,华昌达,2,14210.15,14283.95,-73.8,7,8
000759,中百集团,1,3867.95,3995.04,-127.09,5,4
002827,高争民爆,1,351.71,539.24,-187.53,5,5
600485,*ST信威,2,109.53,388.91,-279.38,9,7
600664,哈药股份,1,2187.46,2472.1,-284.64,5,5
300589,江龙船艇,1,1286.37,1719.8,-433.43,5,5
002505,大康农业,1,2154.59,2621.0,-466.41,5,5
300686,智动力,1,4458.23,4926.97,-468.73,5,5
300417,南华仪器,1,5729.29,6202.28,-472.99,5,5
300781,因赛集团,3,6669.62,7235.85,-566.23,14,14
000544,中原环保,1,1674.01,2274.57,-600.56,5,5
002915,中欣氟材,2,5276.57,5888.62,-612.05,8,9
002949,华阳国际,2,8309.25,8946.9,-637.65,8,8
000410,*ST沈机,1,638.18,1293.41,-655.22,5,5
603256,宏和科技,2,8936.85,9606.48,-669.63,8,8
000045,深纺织A,1,3677.8,4491.45,-813.66,5,5
000713,丰乐种业,2,16083.08,16921.3,-838.22,9,9
603926,铁流股份,1,715.56,1918.44,-1202.89,5,5
603238,诺邦股份,1,1914.3,3136.89,-1222.59,5,5
300234,开尔新材,1,2227.36,3714.41,-1487.05,5,5
300779,惠城环保,1,1118.01,2670.26,-1552.24,5,5
300328,宜安科技,1,4754.18,6346.92,-1592.74,5,5
603687,大胜达,4,15292.31,16909.86,-1617.55,14,16
002751,易尚展示,2,15044.99,16873.77,-1828.78,9,9
300739,明阳电路,2,6619.95,8544.55,-1924.6,10,10
002427,*ST尤夫,1,3106.82,5186.02,-2079.2,5,5
603508,思维列控,1,2512.78,4601.08,-2088.3,5,4
000038,深大通,4,26407.87,28498.65,-2090.77,19,17
300085,银之杰,1,30356.0,32607.03,-2251.03,7,7
002412,汉森制药,1,4123.26,6445.65,-2322.38,5,5
300566,激智科技,1,2112.67,4512.73,-2400.05,5,5
000068,华控赛格,3,17790.33,20307.52,-2517.19,14,15
688022,瀚川智能,1,4033.1,6688.99,-2655.89,5,5
688010,福光股份,1,4668.17,7408.16,-2739.99,5,5
603320,迪贝电气,1,1845.6,4695.76,-2850.16,5,5
002194,武汉凡谷,1,29844.9,32856.67,-3011.77,6,6
603387,基蛋生物,1,2311.96,5344.23,-3032.26,5,4
002886,沃特股份,4,22195.85,25666.92,-3471.07,17,19
002881,美格智能,3,34812.26,38665.17,-3852.91,12,13
002197,证通电子,1,9090.6,12955.77,-3865.16,6,5
002769,普路通,1,2101.44,6708.85,-4607.41,5,5
600651,飞乐音响,2,8225.22,12939.03,-4713.81,11,11
300241,瑞丰光电,1,3424.87,8374.86,-4949.99,5,4
688321,微芯生物,1,5248.22,10764.37,-5516.15,5,5
300761,立华股份,1,4214.02,10113.42,-5899.41,5,1
002402,和而泰,1,19249.36,25304.27,-6054.91,5,5
002256,兆新股份,2,13746.41,21025.61,-7279.2,10,9
688028,沃尔德,5,36357.98,43972.06,-7614.08,10,14
600529,山东药玻,1,8209.09,16069.06,-7859.97,2,3
300716,国立科技,1,2492.26,10595.73,-8103.47,5,5
300725,药石科技,1,9947.72,18497.5,-8549.77,5,4
603617,君禾股份,1,6787.37,19535.16,-12747.79,7,10
603338,浙江鼎力,2,21603.83,37089.34,-15485.5,5,6
002714,牧原股份,1,68027.56,93961.6,-25934.04,3,3
002422,科伦药业,1,34572.32,84156.25,-49583.93,5,4
