BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
1831.85,1,阿拉丁,48.81,http://images.entgroup.cn/group2/M00/00/6C/wKgAS1znz0uATN12AACFhRA_KO8726.jpg,,http://images.entgroup.cn/group2/M00/00/7B/wKgASlzn0gmAWdrEAAA-3RPQii8617.jpg,4,14926.81,2019-05-27 21:31:56
454.28,2,大侦探皮卡丘,12.10,http://images.entgroup.cn/group2/M00/00/73/wKgAS1zn0L2AadOMAAB5rjjh1og929.jpg,,http://images.entgroup.cn/group2/M00/00/85/wKgASlzn02-AQHBQAAA9akXCcxI652.jpg,18,58468.02,2019-05-27 21:31:56
445.20,3,一条狗的使命2,11.86,http://images.entgroup.cn/group2/M00/00/4A/wKgASlznydyAcm_FAABVF4Cn07k457.jpg,,http://images.entgroup.cn/group2/M00/00/78/wKgASlzn0ZOAEBlEAAApJvhqK9k490.jpg,11,17187.96,2019-05-27 21:31:56
332.48,4,五月天人生无限公司,8.86,http://images.entgroup.cn/group1/M00/00/E0/wKgASVzn0AeAS2raAAB79TpmweM517.jpg,,http://images.entgroup.cn/group1/M00/01/4A/wKgASVzn18SAR9wFAAA-tbBaB5o378.jpg,4,3518.36,2019-05-27 21:31:56
226.58,5,龙珠超：布罗利,6.04,http://images.entgroup.cn/group2/M00/00/68/wKgAS1znzsiAMFDsAAB4ppOTCqM709.jpg,,http://images.entgroup.cn/group1/M00/01/40/wKgASVzn1v2APnz_AAA728LD3VY190.jpg,4,2365.77,2019-05-27 21:31:56
158.93,6,何以为家,4.23,http://images.entgroup.cn/group2/M00/00/3D/wKgASlznx76ARSwXAABUDKyUR-w104.jpg,,http://images.entgroup.cn/group1/M00/00/EE/wKgASVzn0UeAR6V8AAAomZR23GI260.jpg,29,36518.39,2019-05-27 21:31:56
113.06,7,一个母亲的复仇,3.01,http://images.entgroup.cn/group2/M00/00/42/wKgASlznyLGAK4iiAABT4dh3-I4263.jpg,,http://images.entgroup.cn/group1/M00/01/02/wKgASVzn0qKANrLjAAAn7HC2fo8595.jpg,18,10461.20,2019-05-27 21:31:56
36.78,8,海蒂和爷爷,0.98,http://images.entgroup.cn/group2/M00/00/6A/wKgAS1znzvaANAcHAACGOAsvThI552.jpg,,http://images.entgroup.cn/group1/M00/01/56/wKgASVzn2HqAMZRkAAA9b25FJOg739.jpg,12,1835.64,2019-05-27 21:31:56
24.23,9,进京城,0.65,http://images.entgroup.cn/group1/M00/00/84/wKgASVznyG2AC2meAABqB89D_50074.jpg,,http://images.entgroup.cn/group1/M00/01/21/wKgASVzn1LWAJgyqAAA5Xn-3PzY250.jpg,18,906.57,2019-05-27 21:31:56
22.12,10,周恩来回延安,0.59,http://images.entgroup.cn/group1/M00/00/99/wKgASVznyhyADEtpAABsHxn7-Kg855.jpg,,http://images.entgroup.cn/group2/M00/00/7E/wKgAS1zn0nKAdtglAAAy30MZ84o222.jpg,13,436.55,2019-05-27 21:31:56
107.79,11,其它,1.00,,,,0,0.00,2019-05-27 21:31:56
