GPSTime,Time,NR_gNBId,NR_CellId,NR_PCI,NR_DlFreq,NR_UlFreq,NR_BandWidth,NR_MeaObjNum,GPSLongitude,GPSLatitude,GPSHeigh,NR_OptimalAvgRsrp,NR_OptimalAvgSinr,NR_OptimalAvgRsrq,NR_OptimalAvgRssi,NR_CSI_RS_Single_RSRP_Rx_avg,NR_CSI_RS_Single_SINR_Rx_avg,NR_UL_MCS_1,NR_PUSCH_BLER_1(%),NR_UL_Rate_PHY_1,NR_UL_Rate_PDCP_MCG,NR_UL_Rate_PDCP_SCG,NR_CQIValue_1,NR_UL_RI,NR_DL_RB,NR_PDSCH_BLER_1(%),NR_DL_RI,NR_DLStreamNumTotal,NR_DL_Rate_PHY_1,NR_DL_Rate_PDCP_SCG,NR_DL_Rate_PDCP_MCG,NR_CSI_RS_Single_TB0_CQI,NR_CSI_RS_Multi_TB0_CQI
2019/3/3/ 17:18:49,17:18:49,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.59,29.38,-10.52,-54.21,-78.0625,24.25,25,9.16,212327.9,0,583258.4,255,2.0,1,8.28,4.0,148,237.408,4.64,0,13,NaN
2019/3/3/ 17:18:50,17:18:50,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.49,29.52,-10.47,-54.21,-77.9375,23.8125,25,9.0,212319.8,0,594097.2,255,2.0,2,9.27,3.8,166,241.78400000000002,4.64,0,13,NaN
2019/3/3/ 17:18:51,17:18:51,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.27,29.43,-10.3,-54.17,-78.0,23.75,25,8.83,212735.8,0,596141.6,255,2.0,1,40.63,3.4,208,287.42400000000004,4.64,0,13,NaN
2019/3/3/ 17:18:52,17:18:52,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.35,28.88,-10.43,-54.14,-78.0625,23.3125,26,9.0,218518.1,0,599546.1,255,2.0,1,10.2,4.0,148,239.52,4.64,0,13,NaN
2019/3/3/ 17:18:53,17:18:53,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.44,29.21,-10.64,-54.05,-77.9375,24.0,26,9.33,224487.2,0,620691.5,255,2.0,1,26.37,3.4,204,262.84,4.64,0,13,NaN
2019/3/3/ 17:18:54,17:18:54,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.29,29.4,-10.54,-53.99,-77.625,24.5,26,8.83,223146.1,0,612649.0,255,2.0,1,29.84,3.8,168,268.448,4.64,0,13,NaN
2019/3/3/ 17:18:55,17:18:55,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.29,29.01,-10.58,-53.95,-77.875,24.375,26,8.83,225875.4,0,611567.6,255,2.0,1,9.33,4.0,153,250.072,4.64,0,13,NaN
2019/3/3/ 17:18:56,17:18:56,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.6,28.66,-10.66,-54.17,-77.9375,24.25,27,7.83,230978.1,0,599943.2,255,2.0,1,40.44,3.3,220,287.248,4.64,0,13,NaN
2019/3/3/ 17:18:57,17:18:57,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.25,29.4,-10.7,-53.79,-77.875,24.5,27,9.0,235068.9,0,612488.5,255,2.0,1,8.72,4.0,150,245.81599999999997,4.64,0,13,NaN
2019/3/3/ 17:18:58,17:18:58,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.46,29.24,-10.66,-54.16,-78.0,24.5625,27,9.33,235429.0,0,622955.6,255,2.0,1,11.18,3.7,177,247.08,4.64,0,13,NaN
2019/3/3/ 17:18:59,17:18:59,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.32,29.61,-10.59,-54.03,-77.9375,24.4375,27,8.83,235591.8,0,623369.5,255,2.0,1,38.91,3.4,197,286.664,4.64,0,13,NaN
2019/3/3/ 17:19:0,17:19:00,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.19,29.56,-10.5,-53.99,-77.9375,24.625,27,9.16,237039.0,0,626148.9,255,2.0,1,10.14,4.0,148,241.768,4.64,0,13,NaN
2019/3/3/ 17:19:1,17:19:01,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-77.47,29.43,-10.44,-54.25,-78.0,24.625,27,9.0,236335.7,0,616813.9,255,2.0,1,20.93,3.5,189,259.344,4.64,0,13,NaN
2019/3/3/ 17:19:2,17:19:02,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-78.85,29.12,-11.4,-54.73,-77.5625,25.375,28,7.16,238314.5,0,617008.2,255,2.0,1,32.84,3.5,183,275.232,4.64,0,14,NaN
2019/3/3/ 17:19:3,17:19:03,311,3,594,3450000,3450000,100,2,0.0,0.0,0.0,-78.09,29.32,-10.36,-54.84,-77.625,27.0,26,9.5,231939.3,0,617219.4,255,2.0,1,20.35,3.4,176,247.976,4.64,0,14,NaN
