BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
714.46,1,阿拉丁,29.12,1,751.83,2019-05-24 12:40:01
611.57,2,五月天人生无限公司,24.93,1,700.89,2019-05-24 12:40:01
290.58,3,龙珠超：布罗利,11.85,1,318.98,2019-05-24 12:40:01
217.55,4,大侦探皮卡丘,8.87,15,52964.38,2019-05-24 12:40:01
178.21,5,一条狗的使命2,7.26,8,13239.55,2019-05-24 12:40:01
84.47,6,云端之上,3.44,1,107.76,2019-05-24 12:40:01
76.53,7,大大哒,3.12,1,79.10,2019-05-24 12:40:01
39.03,8,何以为家,1.59,26,35315.36,2019-05-24 12:40:01
30.33,9,周恩来回延安,1.24,10,325.35,2019-05-24 12:40:01
25.87,10,一个母亲的复仇,1.05,15,9752.97,2019-05-24 12:40:01
184.58,11,其它,1.00,0,0.00,2019-05-24 12:40:01
