BoxOffice,Irank,MovieName,boxPer,default_url,larger_url,moblie_url,movieDay,sumBoxOffice,time
4845.21,1,哪吒之魔童降世,70.31,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46APIr0AABerRRMHII502.jpg,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46AQrVlAAAvXEUyu7c421.jpg,3,47160.08,2019-07-28 09:06:13
703.02,2,银河补习班,10.20,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS103_7uABk8fAAHAqasV5Jk971.jpg,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg,11,69550.99,2019-07-28 09:06:13
449.62,3,烈火英雄,6.52,http://images.entgroup.cn/group1/M00/00/CA/wKgASVznzgWATKDrAABnu05Uqwc551.jpg,,http://images.entgroup.cn/group1/M00/01/46/wKgASVzn12uADGwYAAAz0yzDGFM472.jpg,-3,2512.07,2019-07-28 09:06:13
340.13,4,狮子王,4.94,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl04AAKAKvHPAAK7RsfHMGs338.jpg,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg,17,77679.29,2019-07-28 09:06:13
125.56,5,跳舞吧！大象,1.82,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05Ei2AOqqVAABwk7Z1KbY239.jpg,,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Ei2ACkH5AAA2CSoNj4U470.jpg,3,2934.89,2019-07-28 09:06:13
100.93,6,回到过去拥抱你,1.46,http://images.entgroup.cn/group1/M00/05/10/wKgASV0iqzqABZ1zAABpp8hXq7g744.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0iqzqAKb6sAAA4mi1m2ZQ664.jpg,3,1395.17,2019-07-28 09:06:13
99.98,7,扫毒2：天地对决,1.45,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg,24,126447.97,2019-07-28 09:06:13
35.78,8,赛尔号大电影7：疯狂机器城,0.52,http://images.entgroup.cn/group2/M00/02/85/wKgASlz_B7mAZdPzAACLndxk3gQ585.jpg,,http://images.entgroup.cn/group2/M00/02/85/wKgAS1z_B8-ABYm6AABIGOjWxPs308.jpg,-4,375.82,2019-07-28 09:06:13
34.54,9,蜘蛛侠：英雄远征,0.50,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg,31,140613.63,2019-07-28 09:06:13
30.91,10,爱宠大机密2,0.45,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg,24,15084.69,2019-07-28 09:06:13
125.76,11,其它,1.00,,,,0,0.00,2019-07-28 09:06:13
