date,code,name,weight
2019-06-28,601618,中国中冶,0.18
2019-06-28,601628,中国人寿,0.38
2019-06-28,601633,长城汽车,0.08
2019-06-28,601668,中国建筑,0.97
2019-06-28,601669,中国电建,0.33
2019-06-28,601688,华泰证券,0.66
2019-06-28,601727,上海电气,0.15
2019-06-28,601766,中国中车,0.64
2019-06-28,601788,光大证券,0.18
2019-06-28,601800,中国交建,0.22
2019-06-28,601808,中海油服,0.05
2019-06-28,601818,光大银行,0.49
2019-06-28,601828,美凯龙,0.04
2019-06-28,601838,成都银行,0.13
2019-06-28,601857,中国石油,0.45
2019-06-28,601877,正泰电器,0.16
2019-06-28,601878,浙商证券,0.1
2019-06-28,601881,中国银河,0.13
2019-06-28,601888,中国国旅,0.7
2019-06-28,601898,中煤能源,0.07
2019-06-28,601899,紫金矿业,0.37
2019-06-28,601901,方正证券,0.24
2019-06-28,601919,中远海控,0.16
2019-06-28,601933,永辉超市,0.32
2019-06-28,601939,建设银行,0.4
2019-06-28,601985,中国核电,0.21
2019-06-28,601988,中国银行,0.64
2019-06-28,601989,中国重工,0.41
2019-06-28,601992,金隅集团,0.1
2019-06-28,601997,贵阳银行,0.14
2019-06-28,601998,中信银行,0.15
2019-06-28,603019,中科曙光,0.18
2019-06-28,603156,养元饮品,0.13
2019-06-28,603160,汇顶科技,0.1
2019-06-28,603259,药明康德,0.07
2019-06-28,603260,合盛硅业,0.04
2019-06-28,603288,海天味业,0.69
2019-06-28,603799,华友钴业,0.11
2019-06-28,603833,欧派家居,0.11
2019-06-28,603858,步长制药,0.09
2019-06-28,603986,兆易创新,0.12
2019-06-28,603993,洛阳钼业,0.23
2019-06-28,000001,平安银行,0.96
2019-06-28,000002,万科Ａ,1.09
2019-06-28,000063,中兴通讯,0.63
2019-06-28,000069,华侨城Ａ,0.23
2019-06-28,000100,TCL集团,0.29
2019-06-28,000157,中联重科,0.25
2019-06-28,000166,申万宏源,0.36
2019-06-28,000333,美的集团,1.94
2019-06-28,000338,潍柴动力,0.48
2019-06-28,000402,金 融 街,0.08
2019-06-28,000408,藏格控股,0.04
2019-06-28,000413,东旭光电,0.18
2019-06-28,000415,渤海租赁,0.06
2019-06-28,000423,东阿阿胶,0.15
2019-06-28,000425,徐工机械,0.17
2019-06-28,000538,云南白药,0.35
2019-06-28,000553,安道麦A,0.04
2019-06-28,000568,泸州老窖,0.48
2019-06-28,000596,古井贡酒,0.11
2019-06-28,000625,长安汽车,0.1
2019-06-28,000627,天茂集团,0.1
2019-06-28,000629,攀钢钒钛,0.12
2019-06-28,000630,铜陵有色,0.13
2019-06-28,000651,格力电器,2.14
2019-06-28,000656,金科股份,0.1
2019-06-28,000661,长春高新,0.37
2019-06-28,000671,阳光城,0.09
2019-06-28,000703,恒逸石化,0.13
2019-06-28,000709,河钢股份,0.1
2019-06-28,000725,京东方A,0.66
2019-06-28,000728,国元证券,0.15
2019-06-28,000768,中航飞机,0.18
2019-06-28,000776,广发证券,0.33
2019-06-28,000783,长江证券,0.24
2019-06-28,000786,北新建材,0.12
2019-06-28,000858,五 粮 液,1.85
2019-06-28,000876,新 希 望,0.3
2019-06-28,000895,双汇发展,0.2
2019-06-28,000898,鞍钢股份,0.07
2019-06-28,000938,紫光股份,0.06
2019-06-28,000961,中南建设,0.13
2019-06-28,000963,华东医药,0.18
2019-06-28,001979,招商蛇口,0.4
2019-06-28,002001,新和成,0.2
2019-06-28,002007,华兰生物,0.21
2019-06-28,002008,大族激光,0.24
2019-06-28,002010,传化智联,0.08
2019-06-28,002024,苏宁易购,0.35
2019-06-28,002027,分众传媒,0.44
2019-06-28,002032,苏泊尔,0.1
2019-06-28,002044,美年健康,0.19
2019-06-28,002050,三花智控,0.12
2019-06-28,002065,东华软件,0.11
2019-06-28,002081,金螳螂,0.13
2019-06-28,002120,韵达股份,0.07
2019-06-28,002142,宁波银行,0.51
2019-06-28,002146,荣盛发展,0.13
2019-06-28,002153,石基信息,0.09
2019-06-28,002179,中航光电,0.14
2019-06-28,002202,金风科技,0.28
2019-06-28,002230,科大讯飞,0.39
2019-06-28,002236,大华股份,0.21
2019-06-28,002241,歌尔股份,0.14
2019-06-28,002252,上海莱士,0.08
2019-06-28,002271,东方雨虹,0.16
2019-06-28,002294,信立泰,0.08
2019-06-28,002304,洋河股份,0.59
2019-06-28,002310,东方园林,0.08
2019-06-28,002311,海大集团,0.2
2019-06-28,002352,顺丰控股,0.17
2019-06-28,002410,广联达,0.18
2019-06-28,002411,延安必康,0.07
2019-06-28,002415,海康威视,0.83
2019-06-28,002422,科伦药业,0.21
2019-06-28,002456,欧菲光,0.12
2019-06-28,002460,赣锋锂业,0.15
2019-06-28,002466,天齐锂业,0.14
2019-06-28,002468,申通快递,0.06
2019-06-28,002475,立讯精密,0.49
2019-06-28,002493,荣盛石化,0.12
2019-06-28,002508,老板电器,0.1
2019-06-28,002555,三七互娱,0.12
2019-06-28,002558,巨人网络,0.09
2019-06-28,002594,比亚迪,0.37
2019-06-28,002601,龙蟒佰利,0.07
2019-06-28,002602,世纪华通,0.13
2019-06-28,002624,完美世界,0.11
2019-06-28,002625,光启技术,0.03
2019-06-28,002673,西部证券,0.14
2019-06-28,002714,牧原股份,0.4
2019-06-28,002736,国信证券,0.26
2019-06-28,002739,万达电影,0.12
2019-06-28,002773,康弘药业,0.07
2019-06-28,002925,盈趣科技,0.04
2019-06-28,002938,鹏鼎控股,0.06
2019-06-28,002939,长城证券,0.05
2019-06-28,002945,华林证券,0.04
2019-06-28,300003,乐普医疗,0.2
2019-06-28,300015,爱尔眼科,0.31
2019-06-28,300017,网宿科技,0.17
2019-06-28,300024,机器人,0.13
2019-06-28,300033,同花顺,0.17
2019-06-28,300059,东方财富,0.59
2019-06-28,300070,碧水源,0.12
2019-06-28,300072,三聚环保,0.08
2019-06-28,300122,智飞生物,0.17
2019-06-28,300124,汇川技术,0.18
2019-06-28,300136,信维通信,0.15
2019-06-28,300142,沃森生物,0.28
2019-06-28,300144,宋城演艺,0.14
2019-06-28,300251,光线传媒,0.05
2019-06-28,300296,利亚德,0.11
2019-06-28,300408,三环集团,0.16
2019-06-28,300413,芒果超媒,0.07
2019-06-28,300433,蓝思科技,0.04
2019-06-28,300498,温氏股份,1.08
