AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex,default_url,larger_url,moblie_url
37,8,4845,-78,1,3,哪吒之魔童降世,47160,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46APIr0AABerRRMHII502.jpg,,http://images.entgroup.cn/group1/M00/05/12/wKgASV0xN46AQrVlAAAvXEUyu7c421.jpg
34,4,703,-85,2,11,银河补习班,69551,,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-uAbozEAABvpzZmtrY289.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgAS103_7uABk8fAAHAqasV5Jk971.jpg,http://images.entgroup.cn/group1/M00/05/0E/wKgASV0Zp-yAE2tyAAA0WxxLhi4328.jpg
36,4,450,-78,3,-3,烈火英雄,2512,,http://images.entgroup.cn/group1/M00/00/CA/wKgASVznzgWATKDrAABnu05Uqwc551.jpg,,http://images.entgroup.cn/group1/M00/01/46/wKgASVzn12uADGwYAAAz0yzDGFM472.jpg
37,3,340,-79,4,17,狮子王,77679,,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAcSu9AAB5AWR8wT0471.jpg,http://images.entgroup.cn/group2/M00/02/8A/wKgASl04AAKAKvHPAAK7RsfHMGs338.jpg,http://images.entgroup.cn/group1/M00/05/0C/wKgASV0RlCuAEZEjAAA3qvDbjpI219.jpg
36,1,126,-83,5,3,跳舞吧！大象,2935,,http://images.entgroup.cn/group2/M00/02/8A/wKgASl05Ei2AOqqVAABwk7Z1KbY239.jpg,,http://images.entgroup.cn/group1/M00/05/13/wKgASV05Ei2ACkH5AAA2CSoNj4U470.jpg
36,2,101,-71,6,3,回到过去拥抱你,1395,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0iqzqABZ1zAABpp8hXq7g744.jpg,,http://images.entgroup.cn/group1/M00/05/10/wKgASV0iqzqAKb6sAAA4mi1m2ZQ664.jpg
38,2,100,-87,7,24,扫毒2：天地对决,126448,,http://images.entgroup.cn/group2/M00/00/59/wKgAS1znzF6AaTyeAABndlsMgaM963.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9IOAf6uCAAOkiGV34A4652.jpg,http://images.entgroup.cn/group2/M00/00/9B/wKgAS1zn1qeAfKStAAAvDGjynwc438.jpg
41,4,36,-63,8,-4,赛尔号大电影7：疯狂机器城,376,,http://images.entgroup.cn/group2/M00/02/85/wKgASlz_B7mAZdPzAACLndxk3gQ585.jpg,,http://images.entgroup.cn/group2/M00/02/85/wKgAS1z_B8-ABYm6AABIGOjWxPs308.jpg
41,3,35,-80,9,31,蜘蛛侠：英雄远征,140614,,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKALHmXAAB0xubDE20677.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3liAMW3OAAMx9a3nNa0267.jpg,http://images.entgroup.cn/group1/M00/05/0D/wKgASV0V3gKAU2rVAAA7YnJlHlE913.jpg
34,3,31,-67,10,24,爱宠大机密2,15085,,http://images.entgroup.cn/group2/M00/00/4D/wKgASlznyleAVQh2AAAka0_EM0A799.jpg,http://images.entgroup.cn/group1/M00/05/10/wKgASV0j9kyAQR4QAADceLhmCbQ178.jpg,http://images.entgroup.cn/group1/M00/01/0A/wKgASVzn00qAUVKLAAATZp5k_w8086.jpg
